full_name,first_name,last_name,country,id,type,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,type_avg,diff_avg,player_avg
Zvjezdan Misimovic,Zvjezdan,Misimovic,Bosnia-and-Herzegovina,115103,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.18,0,0.36,0,0.38,0,0.25,0,0.38,-1,-1,-1,-1,-1,-1,0.16,-0.03,0.18
Miralem Pjanic,Miralem,Pjanic,Bosnia-and-Herzegovina,872,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.09,0,0.21,0.1,0.11,0.14,0.16,0.11,0.27,0.17,0.16,0.09,0.07,0.12,0,0.12
Miralem Pjanic,Miralem,Pjanic,Bosnia-and-Herzegovina,872,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.13,0,0.12,0.33,0.29,0,0.13,0,0.08,0,0.38,0.12,0,0.12
Sejad Salihovic,Sejad,Salihovic,Bosnia-and-Herzegovina,90644,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.27,0.33,0.22,0.28,0.14,0.17,0.41,0.33,0.37,0.15,-1,0,0.1,-1,-1,0.23,-0.14,0.16
Sejad Salihovic,Sejad,Salihovic,Bosnia-and-Herzegovina,90644,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.5,0.14,0,0.17,0,0,0,0,-1,-1,-1,-1,0.09,-0.14,0.16
Edin Visca,Edin,Visca,Bosnia-and-Herzegovina,49860,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.12,0.11,0.29,0.23,0.41,0.23,0.35,0.36,0.43,0.25,-0.14,0.18
Edin Visca,Edin,Visca,Bosnia-and-Herzegovina,49860,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0.17,0,0.46,0,0.22,0.11,-0.14,0.18
Dimitar Berbatov,Dimitar,Berbatov,Bulgaria,113639,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.62,0.42,0.56,0.32,0.29,0.49,0.45,0.43,0.41,0.24,0.2,0,-1,-1,-1,0.37,0.32,0.53
Dimitar Berbatov,Dimitar,Berbatov,Bulgaria,113639,nt,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0.6,-1,0.54,1.5,0.78,-1,0.55,1,0.56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.69,0.32,0.53
Stanislav Manolev,Stanislav,Manolev,Bulgaria,1060,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.07,0,0.08,0.08,0.1,0.05,0,-1,0,0,0,0.03,0.05,0.06
Stanislav Manolev,Stanislav,Manolev,Bulgaria,1060,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.33,0.3,0,0,0,0.17,-1,-1,0.08,0.05,0.06
Martin Petrov,Martin,Petrov,Bulgaria,114864,club,-1,-1,-1,-1,-1,-1,-1,-1,0.17,0.29,0.34,-1,-1,-1,-1,0.03,0.15,0.15,0.14,0.25,0.09,0.17,0.12,0.16,-1,-1,-1,-1,-1,-1,0.17,0.08,0.21
Martin Petrov,Martin,Petrov,Bulgaria,114864,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.17,-1,0.15,0,0.38,-1,0.6,0,0.22,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0.25,0.08,0.21
Ivelin Popov,Ivelin,Popov,Bulgaria,53530,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,-1,0.15,0.14,0.35,0.24,0.16,0.19,0.08,0.13,0.11,0.22,0.21,0.04,0.23
Ivelin Popov,Ivelin,Popov,Bulgaria,53530,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.18,1,0.23,0,0.17,0,0.15,1,0.27,0.12,0.14,0.25,0.04,0.23
Dimitar Rangelov,Dimitar,Rangelov,Bulgaria,26230,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.31,0.27,0.33,0.07,0,0.39,0.07,0.5,0.23,0.14,0.19,0.33,0.28,0.48,0.26,-0.04,0.24
Dimitar Rangelov,Dimitar,Rangelov,Bulgaria,26230,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,0.1,0,0,-1,0.17,-1,0.25,-1,0.5,-1,-1,0.22,-0.04,0.24
Chavdar Yankov,Chavdar,Yankov,Bulgaria,242429,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.18,0.07,0,0,0.1,0,0,0,0.2,0,-1,-1,-1,-1,-1,0.06,0.23,0.18
Chavdar Yankov,Chavdar,Yankov,Bulgaria,242429,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,0.2,-1,0.11,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0.29,0.23,0.18
Marcelo Brozovic,Marcelo,Brozovic,Croatia,201,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05,0.15,0.09,0.2,0.1,0.19,0.22,0.12,0.07,0.06,0.13,0.05,0.16
Marcelo Brozovic,Marcelo,Brozovic,Croatia,201,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0.19,0,0.1,0,0,0.18,0.05,0.16
Eduardo da Silva,Eduardo,da Silva,Croatia,80360,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.69,1.03,0.3,0.75,0.22,0.36,0.32,0.15,0.41,0.21,0.44,0.12,0,0,-1,0.36,0.05,0.39
Eduardo da Silva,Eduardo,da Silva,Croatia,80360,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.33,0.33,0.77,1,0.43,0.5,0.33,1,0.18,-1,0,-1,-1,-1,-1,0.41,0.05,0.39
